ident,type,name,iata,icao,iso_country,municipality,lat,lng
FMSY,small_airport,Ampanihy Airport,AMP,FMSY,MG,Ampanihy,-24.6997,44.7342
FMNL,medium_airport,Analalava Airport,HVA,FMNL,MG,Analalava,-14.62951,47.76355
FMND,medium_airport,Andapa Airport,ZWA,FMND,MG,,-14.6517,49.6206
DVD,small_airport,Andavadoaka Airport,DVD,DVD,MG,Andavadoaka,-22.06608,43.25957
WAD,small_airport,Andriamena Airport,WAD,WAD,MG,Andriamena,-17.631,47.7233
FMNB,small_airport,Ankaizina Airport,WBE,FMNB,MG,Bealanana,-14.54428,48.69141
FMMK,small_airport,Ankavandra Airport,JVA,FMMK,MG,Ankavandra,-18.80501,45.27347
FMSZ,small_airport,Ankazoabo Airport,WAK,FMSZ,MG,Ankazoabo,-22.29644,44.53154
MG-0020,small_airport,Ankokoambo Airport,NKO,MG-0020,MG,Ankokoambo,-16.59492,44.45365
FMMG,small_airport,Antsalova Airport,WAQ,FMMG,MG,Antsalova,-18.70127,44.61492
FMME,small_airport,Antsirabe Airport,ATJ,FMME,MG,Antsirabe,-19.83922,47.06371
FMNH,medium_airport,Antsirabe Airport,ANM,FMNH,MG,Antsirabe,-14.9994,50.3202
FMSB,small_airport,Antsoa Airport,WBO,FMSB,MG,Beroroha,-21.60698,45.13602
FMNA,medium_airport,Arrachart Airport,DIE,FMNA,MG,Antisiranana,-12.3494,49.2917
FMMQ,small_airport,Atsinanana Airport,ILK,FMMQ,MG,Ilaka,-19.583,48.803
FMNF,small_airport,Avaratra Airport,WBD,FMNF,MG,Befandriana,-15.2,48.483
FMSL,small_airport,Bekily Airport,OVA,FMSL,MG,Bekily,-24.23569,45.30453
FMML,small_airport,Belo sur Tsiribihina Airport,BMD,FMML,MG,Belo sur Tsiribihina,-19.6867,44.5419
BZM,small_airport,Bemolanga Airport,BZM,BZM,MG,Bemolanga,-17.6925,45.08883
BSV,small_airport,Besakoa Airport,BSV,BSV,MG,Besakoa,-15.6725,47.06167
FMNQ,medium_airport,Besalampy Airport,BPY,FMNQ,MG,Besalampy,-16.74453,44.48248
